element,position,multiplier,is_captain,is_vice_captain,element_type
91,1,1,False,False,1
162,2,1,False,False,2
291,3,1,False,False,2
594,4,1,False,False,2
182,5,2,False,True,3
17,6,1,False,False,3
99,7,1,False,False,3
54,8,1,False,False,3
180,9,1,False,False,4
541,10,1,False,False,4
148,11,1,False,False,4
325,12,0,False,False,1
328,13,0,True,False,3
322,14,0,False,False,2
3,15,0,False,False,2
