element,position,multiplier,is_captain,is_vice_captain,element_type
513,1,1,False,False,1
437,2,1,False,False,2
6,3,1,False,False,2
36,4,1,False,False,2
585,5,1,False,False,3
199,6,1,False,False,3
328,7,1,False,False,3
17,8,1,False,True,3
54,9,1,False,False,3
207,10,1,False,False,4
755,11,2,True,False,4
443,12,0,False,False,1
401,13,0,False,False,4
70,14,0,False,False,2
191,15,0,False,False,2
735,16,1,False,False,5
