Manager,team_id
Willie,73201
Ham,119377
Tom,303450
Immy,431416
Dommy,21505
Blake,760368
Gordie,5703757
Katie,5993873
j rob,2657791
N G,480554
Sarah,8566107
Luke,3593801
Davies,3016885
Eddie,2478351
